Date,Open,High,Low,Close,Adj Close,Volume
2011-01-20,242.000000,248.175003,238.399994,244.199997,230.369247,2944744
2011-01-21,241.750000,246.000000,241.074997,242.675003,228.930618,704542
2011-01-24,244.500000,245.899994,241.000000,242.375000,228.647614,830160
2011-01-25,243.750000,245.800003,235.574997,236.850006,223.435532,958186
2011-01-27,239.975006,240.324997,229.050003,230.725006,217.657440,2157790
2011-01-28,231.000000,231.000000,217.774994,224.399994,211.690674,4388842
2011-01-31,214.024994,225.750000,214.024994,220.425003,207.940781,2736258
2011-02-01,222.850006,222.850006,211.149994,216.550003,204.285263,2416064
2011-02-02,215.875000,220.875000,215.000000,218.300003,205.936157,1399010
2011-02-03,216.524994,220.250000,214.074997,218.649994,206.266327,2141106
2011-02-04,216.000000,223.425003,205.500000,208.274994,196.478958,2490052
2011-02-07,208.000000,209.350006,203.175003,205.050003,193.436569,1371256
2011-02-08,209.000000,209.000000,197.225006,198.475006,187.233978,4643116
2011-02-09,197.500000,210.750000,196.574997,205.000000,193.389435,3388248
2011-02-10,202.050003,212.375000,202.050003,208.574997,196.761948,3224370
2011-02-11,206.625000,211.625000,206.625000,209.125000,197.280807,1546260
2011-02-14,208.750000,214.949997,207.550003,212.899994,200.841965,2292580
2011-02-15,212.050003,213.500000,207.125000,211.925003,199.922195,1478946
2011-02-16,210.125000,218.250000,205.324997,208.649994,196.832703,1920568
2011-02-17,209.500000,214.725006,205.725006,212.225006,200.205231,3443260
2011-02-18,211.649994,214.975006,211.524994,213.050003,200.983521,2322296
2011-02-21,211.050003,216.199997,211.050003,215.199997,203.011734,1551622
2011-02-22,214.800003,214.800003,206.000000,208.225006,196.431778,2528846
2011-02-23,210.750000,212.449997,207.125000,208.100006,196.313858,1148008
2011-02-24,208.000000,209.925003,201.774994,203.425003,191.903671,4385778
2011-02-25,206.425003,210.500000,205.000000,208.774994,196.950623,2198344
2011-02-28,209.899994,216.125000,208.024994,211.750000,199.757126,2425878
2011-03-01,213.149994,225.000000,213.000000,223.100006,210.464279,2384860
2011-03-03,220.000000,222.699997,213.600006,215.199997,203.011734,2121724
2011-03-04,217.000000,222.625000,215.050003,216.175003,203.931503,2587888
2011-03-07,214.949997,214.949997,206.250000,208.300003,196.502533,1709808
2011-03-08,210.000000,213.300003,209.750000,212.000000,199.992981,1539154
2011-03-09,211.774994,214.500000,205.699997,207.774994,196.007294,2240984
2011-03-10,208.500000,210.475006,205.074997,208.649994,196.832703,2033652
2011-03-11,208.399994,212.000000,207.500000,210.274994,198.365662,1261280
2011-03-14,208.500000,214.000000,208.050003,212.774994,200.724091,1236950
2011-03-15,208.274994,217.425003,206.274994,213.824997,201.714600,2122438
2011-03-16,213.024994,220.949997,213.024994,220.050003,207.587036,1174126
2011-03-17,217.050003,221.949997,216.000000,217.649994,205.322937,1486540
2011-03-18,219.449997,219.750000,215.250000,217.350006,205.039978,1236842
2011-03-21,217.625000,223.774994,217.425003,222.250000,209.662415,1564078
2011-03-22,221.750000,228.449997,219.600006,225.300003,212.539703,1726956
2011-03-23,226.500000,228.750000,225.000000,228.125000,215.204727,1229508
2011-03-24,227.750000,230.500000,226.524994,227.550003,214.662292,914994
2011-03-25,234.850006,234.850006,227.125000,229.000000,216.030151,1962978
2011-03-28,227.574997,230.050003,219.149994,221.375000,208.836990,3893230
2011-03-29,219.074997,223.274994,219.074997,221.350006,208.813431,2106386
2011-03-30,224.000000,224.750000,220.574997,222.425003,209.827530,1712244
2011-03-31,223.000000,223.500000,218.125000,221.250000,208.719101,5392782
2011-04-01,221.149994,223.475006,220.600006,222.649994,210.039764,1948106
2011-04-04,223.000000,226.949997,222.524994,225.000000,212.256668,2290908
2011-04-05,226.000000,227.949997,222.225006,224.675003,211.950104,1084382
2011-04-06,224.250000,224.574997,220.250000,221.949997,209.379425,1040220
2011-04-07,222.300003,222.300003,219.100006,220.625000,208.129501,1006682
2011-04-08,220.000000,223.350006,220.000000,220.824997,208.318161,1018404
2011-04-11,226.250000,227.449997,222.550003,225.199997,212.445343,3026028
2011-04-13,226.449997,226.449997,221.625000,223.524994,210.865219,2145686
2011-04-15,222.250000,224.875000,219.250000,219.875000,207.421982,817848
2011-04-18,220.000000,223.250000,215.074997,217.324997,205.016388,1438698
2011-04-19,216.274994,221.500000,213.699997,220.824997,208.318161,535086
2011-04-20,222.574997,223.500000,219.500000,222.949997,210.322769,1029022
2011-04-21,222.625000,224.500000,221.750000,223.149994,210.511444,1045656
2011-04-25,223.975006,225.000000,221.500000,223.000000,210.369980,788672
2011-04-26,223.500000,224.350006,218.975006,223.550003,210.888824,930144
2011-04-27,223.975006,224.125000,220.000000,221.274994,208.742676,658350
2011-04-28,221.300003,226.074997,220.375000,225.175003,212.421783,1716878
2011-04-29,224.774994,234.750000,224.774994,232.875000,219.685699,2818460
2011-05-02,233.699997,238.949997,231.649994,232.649994,219.473419,2318170
2011-05-03,231.250000,234.475006,222.050003,224.125000,211.431229,1560586
2011-05-04,224.500000,225.199997,217.500000,221.699997,209.143616,1977064
2011-05-05,219.774994,222.125000,216.250000,219.000000,206.596512,1309708
2011-05-06,220.000000,221.000000,217.100006,220.524994,208.035110,3705660
2011-05-09,220.699997,221.875000,217.500000,220.100006,207.634216,1097432
2011-05-10,220.449997,220.449997,212.824997,215.350006,203.153259,1114758
2011-05-11,212.500000,217.000000,211.875000,215.100006,202.917389,4028606
2011-05-12,211.000000,217.175003,211.000000,215.425003,203.223984,1278038
2011-05-13,213.625000,218.975006,212.100006,213.649994,201.549515,2798170
2011-05-16,214.250000,221.625000,214.225006,220.225006,207.752136,2489462
2011-05-17,218.800003,224.899994,218.800003,220.800003,208.294571,2759290
2011-05-18,220.149994,222.350006,214.000000,216.250000,204.002243,2487872
2011-05-19,218.425003,218.425003,212.225006,213.625000,201.525955,867418
2011-05-20,215.050003,220.449997,213.625000,219.625000,207.186111,887666
2011-05-23,217.625000,218.850006,211.324997,212.425003,200.393921,1059866
